Class,Energy,ZCR
0,1.4726095490104467,234.0
0,4.5981524217934,242.0
0,4.9310734037640644,241.0
0,9.384586234515421,233.0
0,17.137446163440423,238.0
0,3.3108390439923365,227.0
0,0.46724875761645907,103.0
0,0.9343047499207653,87.0
0,0.8417070118631449,74.0
0,0.5972447074548373,62.0
0,0.4355381167917366,70.0
0,0.4850859432758697,74.0
0,0.26075083793249365,44.0
0,0.3036706969063933,40.0
0,0.3861054621697063,50.0
0,0.10732501541020809,44.0
0,0.05325276446521213,34.0
0,0.04537851129261553,37.0
0,0.002588516439706906,62.0
0,0.002165448498136669,60.0
0,0.001334307087878702,70.0
0,0.0018405563881275222,50.0
0,0.01281321231403296,49.0
0,0.0732258767474747,79.0
0,0.2007093981564121,104.0
0,0.4116286454729561,105.0
0,0.14685342599570075,42.0
0,0.07865638326022495,55.0
0,0.0034714439288507032,2.5
1,0.20903432602952837,38.0
1,0.7254484664604532,33.0
1,1.0935942664162726,30.0
1,1.3175364840854755,28.0
1,0.9518786377962946,44.0
1,0.6627758027470982,28.0
1,0.5764425225446144,36.0
1,0.2390843489512883,37.0
1,0.18803375969169808,54.0
1,0.13940175562077645,59.0
1,0.0804584523124363,68.0
1,0.047605035066113896,30.5
2,0.40333507462322316,38.0
2,0.7159369175097807,39.0
2,0.7840996185303674,39.0
2,0.8487246423628534,48.0
2,0.6390759615699219,39.0
2,0.5018129413026464,39.0
2,0.39286784587593726,38.0
2,0.17041577814428208,59.0
2,0.10076701766019916,63.0
2,0.04459133268146526,51.0
2,0.011949009898457406,49.0
2,0.03435637229807541,189.0
2,0.1565158567686317,231.0
2,0.8023155323471058,239.0
2,1.0001854952414804,242.0
2,0.5004431929273052,240.0
2,0.409186678381141,246.0
2,0.2844222988098417,241.0
2,0.16012333866953823,236.0
2,0.08616907432003465,239.0
2,0.07416009307065921,221.0
2,0.05655973358744816,145.5
3,0.6716185850104958,77.0
3,1.2918366487764545,70.0
3,1.5399739845004625,75.0
3,1.6849947089196642,69.0
3,1.6107132748369748,61.0
3,1.0495971718483208,56.0
3,1.0148857860197193,58.0
3,0.5487075104091269,52.0
3,0.23230989850284398,22.0
3,0.11094341750896212,31.5
4,0.15628164051315852,28.0
4,0.879757617970923,38.0
4,1.1333683666129653,43.0
4,2.048454491263335,43.0
4,2.209037271703222,45.0
4,1.2591794235315374,49.0
4,0.48859784340454976,52.0
4,0.09281262090672847,54.0
4,0.005173246335423175,34.0
4,0.0011064440648181257,46.0
4,0.0002985508209355643,70.0
4,4.5407096160619426e-05,128.0
4,0.0007194561763298845,137.0
4,0.01357984747998845,76.0
4,0.051065225568188016,23.0
4,0.04478916938949001,27.0
4,0.050011783193062605,21.5
5,0.20705765045538785,270.0
5,0.3196248423811472,255.0
5,1.0951334844277258,243.0
5,1.0217046772139344,249.0
5,0.14079019817815874,193.0
5,0.9775687358687684,68.0
5,1.3890365809433467,85.0
5,0.5691683107500387,73.0
5,0.9423581984006173,57.0
5,0.8903259452626326,69.0
5,0.7591785104420803,40.0
5,0.5560162846881127,37.0
5,0.39934152353484664,31.0
5,0.21146736804765204,36.0
5,0.10219192955466314,16.0
5,0.02411819017547479,17.0
5,0.007974104634902678,37.0
5,0.005040667997838224,92.0
5,0.023781877251179574,128.0
5,0.12912897081310137,102.0
5,0.04452738026330766,124.0
5,0.7128730276705406,48.0
5,0.9387776878716193,48.0
5,0.6454337448188727,53.0
5,0.4833017552602396,45.0
5,0.41809717120892875,35.0
5,0.32953983108078133,42.0
5,0.16685534249513456,47.0
5,0.026095806321750688,13.5
6,0.2852025095922557,243.0
6,0.5739517023692045,257.0
6,0.7248400358592626,257.0
6,0.7590550945681729,255.0
6,0.6754720219377965,255.0
6,0.7515350211016907,257.0
6,1.174556021633444,258.0
6,0.4177628820906187,230.0
6,0.37814879277593894,75.0
6,1.2782144868992265,56.0
6,1.2070725147912813,73.0
6,1.2192470500761896,87.0
6,1.582401669384822,69.0
6,1.8161623339993498,90.0
6,1.3605506587190734,124.0
6,1.2059723411639018,121.0
6,0.40514229926567746,133.0
6,0.10636598049852253,104.0
6,0.030189023625723396,93.0
6,0.013036277349978817,82.0
6,0.013229315255931863,116.0
6,0.14709757744310215,242.0
6,0.4279694774837297,242.0
6,0.5356074200615042,261.0
6,0.6107739563903138,245.0
6,0.6572993883308156,241.0
6,0.58112001961608,246.0
6,0.625135422642271,244.0
6,0.5080561054678372,251.0
6,0.24017522790800866,246.0
6,0.25268672269244835,239.0
6,0.12267335791234932,239.0
6,0.09078245380251664,218.5
7,0.10673911765504211,254.0
7,0.3523650046746073,267.0
7,0.46757532261662893,263.0
7,0.4005712663339816,258.0
7,0.5477571464768558,262.0
7,0.5882060985259403,245.0
7,0.2824569584399195,221.0
7,0.2234244183513865,98.0
7,0.6316048582288291,78.0
7,1.0777133422893352,90.0
7,1.7037924415456662,99.0
7,2.3844084066734013,109.0
7,1.6513220382875575,78.0
7,0.8858597106241027,43.0
7,0.05575983497154424,32.0
7,0.010139245316797725,53.0
7,0.00147793728077756,72.0
7,0.0013007787606083582,74.0
7,0.000965909367306519,58.0
7,0.00649865324072552,149.0
7,0.015002309301719155,137.0
7,0.1402961071374652,75.0
7,0.06332276006190171,65.0
7,0.006671447179551158,9.5
8,0.20748245208989624,36.0
8,0.2850427126923357,29.0
8,0.5701297960092144,33.0
8,0.9404244404688538,41.0
8,1.336381097669002,47.0
8,1.7180902234793605,50.0
8,1.057368657558666,51.0
8,0.1663529592367668,67.0
8,0.003274518612844213,50.0
8,0.0005464081781543383,92.0
8,6.161384085478304e-05,148.0
8,1.2963758390309392e-05,327.0
8,0.0001228005790486447,169.0
8,0.2775056042706369,166.0
8,0.5972685049441377,196.0
8,0.15771443668343876,148.0
8,0.059988787309430865,66.0
8,0.13482049745861535,52.0
8,0.1450877401745435,25.0
8,0.09469297149580627,26.5
9,0.1970756808968705,43.0
9,0.24633596061699017,47.0
9,0.28536020800818873,40.0
9,0.3829089589869859,43.0
9,0.781955391409878,39.0
9,1.1934382663730412,46.0
9,1.0212703272219699,49.0
9,0.9291651027021052,59.0
9,1.2712802733110373,58.0
9,0.9990057177722588,56.0
9,0.6171206818231227,47.0
9,0.26977756152860344,40.0
9,0.07289811476175762,45.0
9,0.03691066592046163,52.0
9,0.048310276469186356,50.0
9,0.07689234346358939,32.0
9,0.08258819632227163,30.0
9,0.07444066876706454,21.5
